,Device,"September 1, 2023","September 2, 2023","September 3, 2023","September 4, 2023","September 5, 2023","September 6, 2023","September 7, 2023","September 8, 2023",Total Usage
Alibaba.com,,0s,0s,0s,0s,1s,22s,37s,0s,1m 2s
AliExpress,,0s,0s,0s,12s,0s,0s,0s,0s,12s
Android System,,0s,0s,0s,1s,0s,0s,0s,0s,1s
AppGallery,,5s,2m 2s,17s,1s,10s,11s,19s,0s,3m 9s
Ask AI,,0s,0s,0s,0s,1s,24m 23s,12m 58s,0s,37m 23s
Browser,,16s,0s,2s,2m 2s,1m 4s,42s,0s,0s,4m 8s
Calculator,,0s,9m 55s,44s,1m 24s,2m 58s,0s,0s,0s,15m 3s
Camera,,6s,0s,29s,0s,10s,15s,0s,0s,1m 2s
Chrome,,2h 33m 34s,49m 46s,50m,41m 35s,45m 37s,24m 7s,32m 29s,12m 20s,6h 49m 31s
Clock,,0s,14s,2m 12s,14s,0s,0s,0s,0s,2m 42s
Contacts,,5m 39s,8m 51s,3m 35s,5m 53s,11m 16s,6m 31s,3m 3s,3m 57s,48m 49s
Drive,,0s,6s,0s,0s,0s,1m 1s,0s,0s,1m 8s
Driving Mode,,0s,0s,0s,0s,0s,6s,0s,0s,6s
Files,,0s,0s,0s,0s,2m 41s,1m 51s,0s,0s,4m 33s
Gallery,,2s,0s,3m 57s,1m 6s,6m 42s,52s,3m 28s,0s,16m 10s
GameCenter,,0s,48s,0s,0s,0s,0s,0s,0s,48s
Gmail,,2m 2s,17s,30s,0s,0s,0s,2m 4s,0s,4m 55s
Google,,0s,0s,1s,0s,39s,0s,58s,0s,1m 39s
Google Play Store,,0s,0s,0s,1m,0s,0s,8s,0s,1m 9s
HiLives,,1s,0s,0s,0s,0s,0s,0s,0s,1s
HiVoice,,11s,0s,0s,8s,0s,0s,0s,36s,55s
Huawei Health,,0s,0s,17s,0s,0s,0s,0s,0s,17s
HUAWEI Music,,10s,1m 49s,3m 55s,5m 45s,1m 13s,1m 4s,8m 15s,3m 19s,25m 34s
HUAWEI Video,,0s,0s,0s,0s,4m 1s,0s,0s,0s,4m 1s
Lite,,1h 35m 54s,5h 2m 52s,1h 36m 27s,2h 16m 1s,43m 19s,2h 20m 29s,2h 35m 11s,2h 44m 20s,18h 54m 37s
Messaging,,1m,3m 40s,49s,1m 40s,2m 50s,53s,1m 53s,26s,13m 15s
Mimo,,0s,0s,0s,0s,0s,1s,0s,0s,1s
Notepad,,0s,5m 32s,3m 43s,0s,0s,0s,48s,0s,10m 4s
Package installer,,0s,0s,0s,0s,0s,0s,0s,2s,2s
Phone Manager,,0s,2s,3s,0s,0s,0s,0s,0s,5s
Roll the Ball,,0s,0s,0s,0s,0s,55s,0s,0s,55s
Settings,,11s,2m 3s,14s,0s,1m 26s,3m 23s,17s,0s,7m 38s
StayOff,,0s,0s,0s,0s,46s,0s,0s,47s,1m 33s
Study Bible with explanation,,0s,0s,0s,0s,0s,0s,1s,0s,1s
System UI,,21s,0s,0s,0s,13s,4s,0s,0s,39s
TikTok,,0s,0s,0s,0s,0s,0s,1s,0s,1s
VidMate,,0s,19s,5m 36s,9m 23s,0s,0s,3m 55s,0s,19m 14s
Virus Remover,,0s,0s,0s,1m 12s,0s,0s,0s,0s,1m 12s
VLC,,0s,0s,6s,2s,5s,2m 3s,0s,2s,2m 19s
Weather,,0s,2s,3s,26s,0s,0s,0s,0s,31s
WeChat,,6s,0s,0s,0s,0s,0s,0s,0s,6s
Weibo,,0s,0s,0s,0s,5s,0s,0s,0s,5s
WhatsApp,,29m 51s,39m 42s,41m 59s,47m 55s,39m 6s,36m 10s,42m 40s,28m 11s,5h 5m 38s
WhatsApp Business,,1m 14s,0s,0s,1m 29s,1h 7m 43s,14m 37s,26s,3m 29s,1h 29m 2s
WPS Office,,18s,0s,3m 47s,3m 52s,27m 53s,2m 52s,1m 6s,2m 51s,42m 42s
WPS Office Lite,,0s,0s,0s,0s,1m 54s,6m 13s,6m 53s,0s,15m 2s
Yahoo Mail,,0s,8s,1m 21s,0s,1m 25s,14s,15s,0s,3m 25s
Zoom,,0s,0s,0s,0s,0s,0s,5m 9s,0s,5m 9s
Total Usage,,4h 51m 10s,7h 8m 18s,3h 40m 17s,4h 21m 29s,4h 23m 32s,4h 29m 32s,4h 43m 7s,3h 40m 25s,37h 17m 54s
,,,,,,,,,,
Created by “StayFree”.,,,,,,,,,,
Creation date: 9/11/23 11:07:04,,,,,,,,,,
